S/N		Words               		Frequency
601		air-the             		1
602		aired               		1
603		airless             		1
604		airs                		5
605		airy                		15
606		ajax                		124
607		ajax'               		3
608		ajax-who            		1
609		ak                  		1
610		akilling            		1
611		al'ce               		1
612		alabaster           		3
613		alack               		77
614		alacrity            		4
615		alarbus             		4
616		alarbus'            		1
617		alarm               		4
618		alarms              		1
619		alarum              		86
620		alarum'd            		2
621		alarums             		24
622		alas                		223
623		alas'               		1
624		alb                 		58
625		alban               		3
626		alban's             		1
627		albans              		17
628		albans'             		2
629		albany              		14
630		albany's            		6
631		albeit              		16
632		albion              		3
633		albion's            		3
634		alchemist           		2
635		alchemy             		3
636		alcibiades          		60
637		alcibiades'         		1
638		alcides             		5
639		alcides'            		2
640		alder-liefest       		1
641		alderman            		1
642		alderman's          		1
643		aldermen            		7
644		ale                 		14
645		ale-house           		1
646		ale-wash'd          		1
647		ale-wife            		1
648		alecto's            		1
649		alehouse            		8
650		alehouse'           		1
651		alehouses           		1
652		alencon             		48
653		alencon's           		2
654		alengon             		1
655		aleppo              		2
656		ales                		2
657		alewife's           		1
658		alexander           		33
659		alexander's         		1
660		alexanders          		1
661		alexandria          		25
662		alexandrian         		2
663		alexas              		34
664		alias               		3
665		alice               		30
666		alien               		3
667		aliena              		7
668		alight              		1
669		alighted            		3
670		alights             		1
671		aliis               		1
672		alike               		42
673		alisander           		6
674		alive               		90
675		all                 		3904
676		all's               		38
677		all-a               		1
678		all-abhorred        		1
679		all-admiring        		1
680		all-binding         		1
681		all-changing        		1
682		all-cheering        		1
683		all-disgraced       		1
684		all-dreaded         		1
685		all-eating          		1
686		all-ending          		1
687		all-hail            		2
688		all-hailed          		1
689		all-hallond         		1
690		all-hallown         		1
691		all-hating          		1
692		all-honour'd        		1
693		all-hurting         		1
694		all-licens'd        		1
695		all-obeying         		1
696		all-oblivious       		1
697		all-praised         		1
698		all-seeing          		2
699		all-seer            		1
700		all-shaking         		1
701		all-shunn'd         		1
702		all-souls'          		3
703		all-telling         		1
704		all-tyrant          		1
705		all-unable          		1
706		all-watched         		1
707		all-worthy          		2
708		alla                		2
709		allay               		12
710		allay'd             		1
711		allayed             		1
712		allaying            		2
713		allayment           		1
714		allayments          		1
715		allays              		1
716		allegation          		1
717		allegations         		1
718		allege              		2
719		alleged             		2
720		allegiance          		26
721		allegiant           		1
722		alley               		2
723		alleys              		2
724		allhallowmas        		1
725		alliance            		16
726		allicholy           		1
727		allied              		5
728		allies              		6
729		alligant            		1
730		alligator           		1
731		allons              		3
732		allons-nous         		1
733		allot               		1
734		allots              		1
735		allotted            		1
736		allottery           		1
737		allow               		31
738		allow'd             		18
739		allowance           		10
740		allowed             		5
741		allowing            		3
742		allows              		4
743		alls                		1
744		allur'd             		1
745		allure              		2
746		allurement          		1
747		alluring            		1
748		allusion            		2
749		ally                		1
750		allycholly          		1
751		almain              		1
752		almanac             		2
753		almanack            		1
754		almanacs            		1
755		almighty            		7
756		almond              		1
757		almost              		163
758		alms                		12
759		alms-basket         		1
760		alms-deed           		1
761		alms-drink          		1
762		alms-houses         		1
763		almsman's           		1
764		aloes               		1
765		aloft               		22
766		alone               		237
767		along               		112
768		alonso              		50
769		aloof               		19
770		aloud               		27
771		alphabet            		1
772		alphabetical        		1
773		alphonso            		1
